Linea,Criadero,Status,Origen,Año,CS/CNN,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
P04378,INTA Pergamino,Linea,,2004,CS,NO,NO,2*,7+8,5+10
P04430,INTA Pergamino,Linea,,2004,CS,NO,SI,2*,7+9,5+10
P04476,INTA Pergamino,Linea,,2004,CS,NO,SI,2*,7+9,2+12
P04528,INTA Pergamino,Linea,,2004,CS,NO,NO,1,7+8,5+10
P04529,INTA Pergamino,Linea,,2004,CS,NO,SI,1,7+9/17+18,5+10
P04530,INTA Pergamino,Linea,,2004,CS,NO,SI,2*,17+18,5+10
P04537,INTA Pergamino,Linea,,2004,CS,NO,SI,2*,7+9,5+10
P04575,INTA Pergamino,Linea,,2004,CS,NO,SI,2*,7+9,5+10
P04577,INTA Pergamino,Linea,,2004,CS,NO,SI,2*,7+9,5+10
P04578,INTA Pergamino,Linea,,2004,CS,NO,SI,2*,7+9,5+10
P04647,INTA Pergamino,Linea,,2004,CS,NO,SI,2*,7+9,5+10
P04663,INTA Pergamino,Linea,,2004,CS,NO,SI,2*,7+9,5+10
P04680,INTA Pergamino,Linea,,2004,CNN,NO,SI,2,7+9,2+10
P04683,INTA Pergamino,Linea,,2004,CNN,NO,SI,2,7+9,2+10
P04688,INTA Pergamino,Linea,,2004,CS,NO,NO,1,7+8,2+12
P04695,INTA Pergamino,Linea,,2004,CS,NO,NO,1,7+8,5+10
J02001,INTA Marcos Juarez,Linea,,2004,CS,NO,NO,2*,7+9,2+12
J02006,INTA Marcos Juarez,Linea,,2004,CS,NO,NO,1,7+9/17+18,2+12
J02011,INTA Marcos Juarez,Linea,,2004,CNN,NO,NO,2*,7+8,5+10
J03001,INTA Marcos Juarez,Linea,,2004,CS,SI,NO,2*,7+9,5+10
J03002,INTA Marcos Juarez,Linea,,2004,CS,SI,NO,2*,7+9,5+10
J03004,INTA Marcos Juarez,Linea,,2004,CS,SI,NO,2*,7+9,5+10
J03006,INTA Marcos Juarez,Linea,,2004,CS,NO,NO,2*,17+18,5+10
J03012,INTA Marcos Juarez,Linea,,2004,CS,NO,SI,2*,7+9,5+10
J03013,INTA Marcos Juarez,Linea,,2004,CS,NO,SI,2*,7+9,5+10
J03019,INTA Marcos Juarez,Linea,,2004,CS,NO,NO,1,7+9,5+10
J04005,INTA Marcos Juarez,Linea,,2004,CS,NO,SI,2*,7+9,5+10
J04006,INTA Marcos Juarez,Linea,,2004,CS,NO,NO,2*,17+18,5+10
J04010,INTA Marcos Juarez,Linea,,2004,CS,NO,NO,1,7+9,5+10
J04011,INTA Marcos Juarez,Linea,,2004,CS,NO,SI,1,7+8,5+10
J04012,INTA Marcos Juarez,Linea,,2004,CS,NO,NO,2*,7+9,5+10
JN02008,INTA Saenz Peña,Linea,,2004,CS,NO,SI,1,7+8,5+10
JN02010,INTA Saenz Peña,Linea,,2004,CNN,NO,SI,1,7+9,5+10
JN03008,INTA Saenz Peña,Linea,,2004,CS,SI,NO,1,17+18/7+8,5+10
JN03016,INTA Saenz Peña,Linea,,2004,CS,NO,NO,2*,7+9,5+10
JN04001,INTA Saenz Peña,Linea,,2004,CS,NO,NO,2*,7+8,5+10
JN04002,INTA Saenz Peña,Linea,,2004,CNN,NO,NO,2*,17+18,5+10
JN04003,INTA Saenz Peña,Linea,,2004,CS,NO,SI,1,7+9,5+10
JN04004,INTA Saenz Peña,Linea,,2004,CNN,NO,SI,1,7+8,5+10
JN04007,INTA Saenz Peña,Linea,,2004,CS,NO,SI,2*,7+9,5+10
JN04008,INTA Saenz Peña,Linea,,2004,CNN,NO,SI,1,7+8,5+10
JN04009,INTA Saenz Peña,Linea,,2004,CNN,NO,SI,1,7+8,5+10
JN04013,INTA Saenz Peña,Linea,,2004,CS,NO,NO,1,17+18,5+10
JN04014,INTA Saenz Peña,Linea,,2004,CS,NO,NO,2*,7+9,5+10
JN04015,INTA Saenz Peña,Linea,,2004,CS,NO,NO,2*,7+9,5+10
JN04016,INTA Saenz Peña,Linea,,2004,CS,NO,NO,1,17+18/7+8,5+10
R04001,INTA Marcos Juarez,Linea,,2004,CS,SI,NO,2*,7+8,5+10
R04002,INTA Marcos Juarez,Linea,,2004,CS,SI,NO,2*,7+8,5+10
R04003,INTA Marcos Juarez,Linea,,2004,CS,NO,SI,1,7+9,5+10
R04004,INTA Marcos Juarez,Linea,,2004,CS,NO,SI,1,7+9,5+10
R04029,INTA Marcos Juarez,Linea,,2004,CS,NO,NO,1,7+8,5+10
R04033,INTA Marcos Juarez,Linea,,2004,CS,NO,NO,1,7+8,5+10
ACA 303,ACA,Variedad,,2004,CNN,NO,NO,nulo?,7+8,5+10
ACA 304,ACA,Variedad,,2004,CNN,NO,NO,nulo,7+8,5+10
ACA 601 ,ACA,Variedad,,2004,CNN,NO,NO,2*,7+8,5+10
ACA 801,ACA,Variedad,,2004,CS,NO,NO,2*,7+9,5+10
AGUARA,BUCK,Variedad,,2004,CNN,NO,NO,2*,17+18,5+10
GUATIMOZIN,BUCK,Variedad,,2004,CNN,NO,NO,2*,7+8,5+10
MEJORPAN,BUCK,Variedad,,2004,CNN,NO,NO,2*,7+8,5+10
BAGUETTE 11,NIDERA,Variedad,,2004,CS,NO,NO,2*,7+8,5+10
BAGUETTE 13,NIDERA,Variedad,,2004,CS,NO,NO,2*,7+9,5+10
BIOINTA 1000,INTA,Variedad,,2004,CNN,NO,NO,1,7+8,5+10
BIOINTA 1001,INTA,Variedad,,2004,CS,NO,SI,1,7+9,5+10
BIOINTA 3000,INTA,Variedad,,2004,CS,NO,NO,1,7+8,5+10
BIOINTA 3002,INTA,Variedad,,2004,CS,NO,NO,1,7+8,5+10
BIOINTA 3003,INTA,Variedad,,2004,CS,SI,NO,,,
INIA CHURRINCHE,INIA,Variedad,,2004,CS,NO,NO,2*,7+8,5+10
INIA TIJERETA,INIA,Variedad,,2004,CS,NO,NO,2*,17+18,5+10
CAPRICORNIO,KLEIN,Variedad,,2004,CS,NO,NO,2*,7+8,5+10
ESCORPIÓN,KLEIN,Variedad,,2004,CS,NO,NO,1,7+9,5+10
GAVILAN,KLEIN,Variedad,,2004,CS,NO,SI,2*,7+9,5+10
PROTEO,KLEIN,Variedad,,2004,CS,NO,NO,1,7+9,5+10
ONIX,DON MARIO,Variedad,,2004,CS,NO,NO,2*,7+9,5+10
PROINTA GAUCHO,INTA,Variedad,,2004,CS,NO,SI,1,7+9,5+10
PROINTA GRANAR,INTA,Variedad,,2004,CS,NO,SI,2*,13+16,5+10
J01006,INTA Marcos Juarez,Linea,,2004,CS,NO,NO,2*,7+9,5+10
JN01005,INTA Saenz Peña,Linea,,2004,CS,NO,NO,1,7+9,5+10
