Linea,Criadero,Status,Origen,Año,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Vrn-B1,Vrn-D1,Ppd-D1,Lr34
P04842,INTA Pergamino,Linea,Regional III,2009,NO,SI,,,,w,w,s,i,-
P05115,INTA Pergamino,Linea,Regional III,2009,NO,NO,,,,w,s,,i,-
P05125,INTA Pergamino,Linea,Regional III,2009,NO,NO,,,,w,s,w,s,-
P05134,INTA Pergamino,Linea,Regional III,2009,NO,SI,,,,w,w,w,i,H
P05239,INTA Pergamino,Linea,Regional III,2009,NO,SI,,,,w,s,s,i,+
P05243,INTA Pergamino,Linea,Regional III,2009,NO,NO,,,,w,w,w,i,-
T00195,INTA Parana,Linea,Regional III,2009,NO,NO,,,,w,s,s,i,-
T00196,INTA Parana,Linea,Regional III,2009,NO,SI,,,,w,w,s,i,-
T00208,INTA Parana,Linea,Regional III,2009,NO,NO,,,,w,s,s,s,-
T00209,INTA Parana,Linea,Regional III,2009,NO,SI,,,,s,w,s,i,+
T00210,INTA Parana,Linea,Regional III,2009,NO,SI,,,,w,s,s,i,+
T00211,INTA Parana,Linea,Regional III,2009,NO,NO,,,,w,s,s,i,-
ACA 901,ACA,Variedad,Regional III,2009,NO,NO,2*,7+9,5+10,w,s,s,i,+
PUELCHE,BUCK,Variedad,Regional III,2009,NO,SI,1,7+9,5+10,s,w,s,i,-
BAGUETTE 9,NIDERA,Variedad,Regional III,2009,NO,NO,2*,14+15,5+10,s*,w,s,i,-
BAGUETTE 13,NIDERA,Variedad,Regional III,2009,NO,NO,2*,14+15,5+10,w,w,s/w,i,-
BIOINTA 1005,INTA,Variedad,Regional III,2009,NO,NO,2*,7+9,5+10,w,s,s,i,-
BIOINTA 1006,INTA,Variedad,Regional III,2009,NO,NO,1,7+9,5+10,w,s,s,i,-
CRONOX,DON MARIO,Variedad,Regional III,2009,NO,NO,2*,7+9,5+10,w,s,s,s,-
TAURO,KLEIN,Variedad,Regional III,2009,NO,NO,1,7oe+8,5+10,w,s,s,i,+
TIGRE,KLEIN,Variedad,Regional III,2009,NO,SI,1,7+9,5+10,w,s,s,i,+
LE 2331,RELMO,Variedad,Regional III,2009,NO,NO,1,17+18,5+10,w,s,w,i,-
