Nombre,Criadero,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
V 00696                                                     ,INTA Bordenave,CBS,2004,CS,NO,SI,2*/nulo,7+8,2+12
V 00697                                                     ,INTA Bordenave,CBS,2004,CS,NO,NO,1,7+9,5+10
V 00703                                                     ,INTA Bordenave,CBS,2004,CS,NO,SI,2*,7+8,2+12
V 00713                                                     ,INTA Bordenave,CBS,2004,CS,NO,SI,2*,7+8,5+10
V 00723                                                     ,INTA Bordenave,CBS,2004,CS,NO,NO,1,7+8,5+10
V 00770                                                     ,INTA Bordenave,CBS,2004,CS,NO,SI,2*,7+8,5+10
V 00817                                                     ,INTA Bordenave,CBS,2004,CS,NO,NO,nulo,17+18,5+10
V 00830                                                     ,INTA Bordenave,CBS,2004,CS,NO,SI,1,7+9,5+10
V 00832                                                     ,INTA Bordenave,CBS,2004,CS,NO,NO,1,7+8,5+10
V 00833                                                     ,INTA Bordenave,CBS,2004,CS,NO,NO,1,7+8,5+10
V 00840                                                     ,INTA Bordenave,CBS,2004,CS,NO,NO,1,7+8,5+10
V 00845                                                     ,INTA Bordenave,CBS,2004,CS,NO,NO,1,7+8,2+12
V 00851                                                     ,INTA Bordenave,CBS,2004,CS,NO,SI,1,7+9,5+10
V 00853                                                     ,INTA Bordenave,CBS,2004,CNN,NO,NO,2*,7+8,5+10
V 00858                                                     ,INTA Bordenave,CBS,2004,CS,NO,NO,1,7+8,5+10
V 00860                                                     ,INTA Bordenave,CBS,2004,CS,NO,SI,nulo,7+9,5+10
V 00865                                                     ,INTA Bordenave,CBS,2004,CS,NO,SI,1,7+9,5+10
V 00867                                                     ,INTA Bordenave,CBS,2004,CS,NO,NO,nulo,7+8,5+10
V 00870                                                     ,INTA Bordenave,CBS,2004,CS,NO,SI,1,7+9,5+10
V 00871                                                     ,INTA Bordenave,CBS,2004,CNN,NO,NO,2*,7+8,5+10
